Country,Product_Group_Use,SalesRep_Code,yearmonth,MTD Sales,UserKey_4Map
TH,GIMMIC,670,2024-07-01,0.0,TH_670
TH,GIMMIC,063,2024-07-01,0.0,TH_063
TH,GIMMIC,660,2024-07-01,0.0,TH_660
TH,GIMMIC,669,2024-07-01,0.0,TH_669
TH,GIMMIC,673,2024-07-01,0.0,TH_673
TH,GIMMIC,662,2024-07-01,0.0,TH_662
TH,GIMMIC,671,2024-07-01,0.0,TH_671
TH,GIMMIC,664,2024-07-01,0.0,TH_664
TH,GIMMIC,654,2024-07-01,0.0,TH_654
TH,GIMMIC,631,2024-07-01,0.0,TH_631
TH,GIMMIC,667,2024-07-01,0.0,TH_667
TH,GIMMIC,674,2024-07-01,0.0,TH_674
TH,GIMMIC,052,2024-07-01,0.0,TH_052
TH,GIMMIC,887,2024-07-01,0.0,TH_887
TH,GIMMIC,881,2024-07-01,0.0,TH_881
TH,GIMMIC,851,2024-07-01,0.0,TH_851
TH,GIMMIC,856,2024-07-01,0.0,TH_856
TH,GIMMIC,861,2024-07-01,0.0,TH_861
TH,GIMMIC,886,2024-07-01,0.0,TH_886
TH,GIMMIC,852,2024-07-01,0.0,TH_852
TH,GIMMIC,882,2024-07-01,0.0,TH_882
TH,GIMMIC,894,2024-07-01,0.0,TH_894
TH,GIMMIC,883,2024-07-01,0.0,TH_883
TH,GIMMIC,EE0,2024-07-01,0.0,TH_EE0
TH,GIMMIC,668,2024-07-01,0.0,TH_668
TH,GIMMIC,663,2024-07-01,0.0,TH_663
TH,GIMMIC,506,2024-07-01,0.0,TH_506
TH,GIMMIC,510,2024-07-01,0.0,TH_510
TH,GIMMIC,507,2024-07-01,0.0,TH_507
TH,GIMMIC,518,2024-07-01,0.0,TH_518
TH,GIMMIC,079,2024-07-01,0.0,TH_079
TH,GIMMIC,893,2024-07-01,0.0,TH_893
TH,GIMMIC,892,2024-07-01,0.0,TH_892
TH,GIMMIC,853,2024-07-01,0.0,TH_853
TH,GIMMIC,895,2024-07-01,0.0,TH_895
TH,GIMMIC,854,2024-07-01,0.0,TH_854
TH,GIMMIC,855,2024-07-01,0.0,TH_855
TH,GIMMIC,896,2024-07-01,0.0,TH_896
TH,GIMMIC,071,2024-07-01,0.0,TH_071
TH,GIMMIC,661,2024-07-01,0.0,TH_661
TH,GIMMIC,651,2024-07-01,0.0,TH_651
TH,GIMMIC,054,2024-07-01,0.0,TH_054
TH,GIMMIC,508,2024-07-01,0.0,TH_508
TH,GIMMIC,056,2024-07-01,0.0,TH_056
TH,GIMMIC,884,2024-07-01,0.0,TH_884
TH,GIMMIC,672,2024-07-01,0.0,TH_672
TH,GIMMIC,972,2024-07-01,0.0,TH_972
TH,GIMMIC,973,2024-07-01,0.0,TH_973
TH,GIMMIC,885,2024-07-01,0.0,TH_885
