Country,SalesRep_Code,salesrepemployeeid_z,yearmonth,MTD Sales,MTD Target,UserKey_4Map,Column1
PH,CHC_HA,,2024-07-01,1434386.2300000004,0.0,PH_CHC_HA,-1434386.2300000004
PH,CHC_HA,,2024-08-01,981205.8,0.0,PH_CHC_HA,-981205.8
ID,MRJKALZ1,,2024-07-01,3434169463.0,0.0,ID_MR_MRJKALZ1,-3434169463.0
ID,MRJKALZ1,,2024-08-01,449482343.0,0.0,ID_MR_MRJKALZ1,-449482343.0
PH,PROTLC,,2024-07-01,16345370.770000154,0.0,PH_PROTLC,-16345370.770000154
PH,PROTLC,,2024-08-01,18478212.13000009,0.0,PH_PROTLC,-18478212.13000009
TH,631,,2024-07-01,4707780.1400000015,0.0,TH_631,-4707780.1400000015
TH,631,,2024-08-01,1491767.8699999999,0.0,TH_631,-1491767.8699999999
TW,XXBU4,,2024-07-01,29112662.0,0.0,TW_XXBU4,-29112662.0
TW,XXBU4,,2024-08-01,12333294.0,0.0,TW_XXBU4,-12333294.0
PH,NONPROM,,2024-08-01,27846919.010000154,0.0,PH_NONPROM,-27846919.010000154
PH,NONPROM,,2024-07-01,22956306.070000075,0.0,PH_NONPROM,-22956306.070000075
SG,ZZ2,,2024-07-01,7774.260000000001,0.0,SG_MR_ZZ2,-7774.260000000001
SG,ZZ2,,2024-08-01,-405.50000000000006,0.0,SG_MR_ZZ2,405.50000000000006
TW,XXBU8,,2024-08-01,791773.0,0.0,TW_XXBU8,-791773.0
SG,NETH,,2024-07-01,681164.28,0.0,SG_MR_NETH,-681164.28
SG,NETH,,2024-08-01,192268.37000000008,0.0,SG_MR_NETH,-192268.37000000008
MY,NETH,,2024-08-01,453503.2,0.0,MY_MR_NETH,-453503.2
MY,NETH,,2024-07-01,827167.9,0.0,MY_MR_NETH,-827167.9
MY,E7PS,,2024-07-01,31121.600000000002,0.0,MY_MR_E7PS,-31121.600000000002
MY,E8PS,,2024-08-01,47052.76,0.0,MY_MR_E8PS,-47052.76
MY,E8PS,,2024-07-01,93708.02,0.0,MY_MR_E8PS,-93708.02
TW,BFR1,,2024-08-01,1447711.0,0.0,TW_BFR1,-1447711.0
TW,BFR1,,2024-07-01,2204495.0,0.0,TW_BFR1,-2204495.0
PH,HAKNATL,,2024-08-01,72070.4,0.0,PH_HAKNATL,-72070.4
MY,E9PS,,2024-07-01,100837.66,0.0,MY_MR_E9PS,-100837.66
SG,ZZ3,,2024-07-01,7022003.590000019,0.0,SG_MR_ZZ3,-7022003.590000019
